contigName	contigLen	totalAvgDepth	aln.sorted.bam	aln.sorted.bam-var
k141_1529 flag=1 multi=5.0000 len=5962	5962	6.39487	6.39487	5.0571
k141_1536 flag=0 multi=5.0013 len=7751	7751	5.37337	5.37337	4.44367
k141_1546 flag=1 multi=6.0000 len=8454	8454	6.42341	6.42341	5.0145
k141_1548 flag=0 multi=5.0000 len=2007	2007	5.68551	5.68551	0.959231
k141_1553 flag=1 multi=5.0000 len=3130	3130	5.50772	5.50772	4.76699
k141_1556 flag=0 multi=38.3364 len=37728	37728	44.7164	44.7164	35.7441
k141_1557 flag=1 multi=7.0000 len=4400	4400	8.09577	8.09577	11.4085
k141_1562 flag=0 multi=6.9339 len=16770	16770	6.91282	6.91282	6.67152
k141_1564 flag=1 multi=6.7091 len=10374	10374	6.70256	6.70256	6.6374
k141_1565 flag=0 multi=55.1016 len=45314	45314	66.1245	66.1245	53.4372
k141_1572 flag=0 multi=6.0366 len=9467	9467	6.4919	6.4919	6.71176
k141_1573 flag=0 multi=5.0000 len=1681	1681	5.21555	5.21555	3.30777
k141_1580 flag=0 multi=6.0000 len=2487	2487	7.93924	7.93924	5.82673
k141_1583 flag=0 multi=37.0299 len=45752	45752	44.5137	44.5137	41.0019
k141_1585 flag=0 multi=6.1435 len=2490	2490	5.60256	5.60256	3.60595
k141_1587 flag=1 multi=6.0000 len=6186	6186	6.04954	6.04954	4.9366
k141_1588 flag=1 multi=5.0000 len=4300	4300	5.85928	5.85928	7.88132
k141_1590 flag=1 multi=5.0000 len=8091	8091	5.61466	5.61466	4.62275
k141_1597 flag=1 multi=5.0000 len=1685	1685	7.28469	7.28469	3.82961
k141_1601 flag=1 multi=6.0000 len=7167	7167	6.36412	6.36412	6.80963
k141_1609 flag=0 multi=41.9906 len=4095	4095	42.8195	42.8195	68.4547
k141_1617 flag=0 multi=55.6943 len=15720	15720	65.4492	65.4492	86.662
k141_1619 flag=1 multi=5.0000 len=1496	1496	5.68871	5.68871	5.88294
k141_1620 flag=0 multi=4.0000 len=1016	1016	4.01155	4.01155	3.41259
k141_1622 flag=0 multi=53.9736 len=22586	22586	64.9514	64.9514	81.237
k141_1623 flag=1 multi=3.0000 len=1251	1251	2.03815	2.03815	0.427637
k141_1629 flag=0 multi=56.0961 len=39416	39416	68.6462	68.6462	68.1901
k141_1630 flag=1 multi=3.0559 len=1429	1429	4.74199	4.74199	5.51091
k141_1637 flag=0 multi=4.6967 len=2475	2475	5.06968	5.06968	2.7301
k141_1638 flag=1 multi=5.0000 len=1389	1389	6.03148	6.03148	6.3197
k141_1644 flag=0 multi=5.4622 len=1766	1766	5.8552	5.8552	3.37469
k141_1645 flag=1 multi=4.0000 len=2339	2339	5.33486	5.33486	3.41112
k141_1657 flag=1 multi=6.0000 len=5622	5622	6.43001	6.43001	6.51601
k141_1659 flag=1 multi=7.0000 len=2238	2238	7.79502	7.79502	10.3346
k141_1667 flag=0 multi=5.0000 len=9549	9549	6.6572	6.6572	4.42633
k141_1668 flag=0 multi=4.0000 len=1114	1114	3.31017	3.31017	1.29622
k141_1671 flag=0 multi=55.0151 len=39548	39548	65.3214	65.3214	79.2607
k141_1674 flag=1 multi=5.0000 len=4570	4570	5.95792	5.95792	5.12755
k141_1681 flag=0 multi=6.0000 len=2462	2462	5.02163	5.02163	3.95368
k141_1687 flag=0 multi=69.5489 len=1726	1726	56.7652	56.7652	147.272
k141_1690 flag=0 multi=5.0000 len=3361	3361	6.0355	6.0355	4.67658
k141_1693 flag=0 multi=5.6988 len=2907	2907	6.00617	6.00617	1.64328
k141_1694 flag=0 multi=5.0268 len=10217	10217	5.78752	5.78752	4.70892
k141_1696 flag=0 multi=7.0000 len=2221	2221	8.00724	8.00724	8.60336
k141_1697 flag=1 multi=7.0000 len=5075	5075	5.47716	5.47716	10.8724
k141_1699 flag=0 multi=6.0000 len=6521	6521	5.5153	5.5153	5.11143
k141_1700 flag=0 multi=5.0000 len=4342	4342	5.57729	5.57729	4.85826
k141_1702 flag=0 multi=5.0000 len=5323	5323	6.31452	6.31452	8.65251
k141_1708 flag=1 multi=5.0000 len=6513	6513	6.46142	6.46142	3.64907
k141_1711 flag=1 multi=5.7063 len=5724	5724	5.88428	5.88428	6.26335
k141_1712 flag=1 multi=5.0000 len=4970	4970	4.76058	4.76058	5.13836
k141_1714 flag=0 multi=6.0000 len=2421	2421	6.78292	6.78292	6.81317
k141_1720 flag=1 multi=5.9428 len=7672	7672	6.44536	6.44536	3.59537
k141_1721 flag=0 multi=6.0000 len=9590	9590	6.62595	6.62595	5.36439
k141_1724 flag=0 multi=106.1322 len=1457	1457	127.464	127.464	462.666
k141_1728 flag=1 multi=6.0000 len=25580	25580	6.7989	6.7989	6.17058
k141_1733 flag=0 multi=113.0000 len=1621	1621	126.774	126.774	356.746
k141_1761 flag=1 multi=4.0000 len=2016	2016	5.08146	5.08146	6.54775
k141_1767 flag=1 multi=5.0000 len=5223	5223	6.08102	6.08102	5.84505
k141_1771 flag=0 multi=6.0000 len=2235	2235	6.52854	6.52854	3.13989
k141_1773 flag=0 multi=6.0000 len=2851	2851	5.61792	5.61792	4.79979
k141_1774 flag=0 multi=5.0000 len=5263	5263	5.59691	5.59691	5.83295
k141_1775 flag=0 multi=36.0908 len=34131	34131	44.1182	44.1182	41.2192
k141_1779 flag=0 multi=55.2737 len=11166	11166	66.5728	66.5728	64.6265
k141_1783 flag=1 multi=53.0000 len=12027	12027	63.8446	63.8446	146.594
k141_1784 flag=0 multi=54.1902 len=32314	32314	65.416	65.416	66.0708
k141_1787 flag=1 multi=6.0000 len=2803	2803	7.52544	7.52544	7.47413
k141_1790 flag=1 multi=3.8130 len=1216	1216	6.61257	6.61257	5.09391
k141_1792 flag=0 multi=5.0119 len=1063	1063	3.09858	3.09858	3.12187
k141_1807 flag=1 multi=5.0000 len=3422	3422	5.93826	5.93826	8.53315
k141_1810 flag=0 multi=41.1026 len=12268	12268	49.4374	49.4374	53.9345
k141_1812 flag=1 multi=6.0000 len=9508	9508	6.38598	6.38598	7.01201
k141_1813 flag=1 multi=6.0000 len=2523	2523	5.90055	5.90055	5.04241
k141_1819 flag=1 multi=7.3511 len=1608	1608	5.02058	5.02058	2.37293
k141_1821 flag=0 multi=56.1251 len=56810	56810	65.3732	65.3732	60.9704
k141_1827 flag=1 multi=5.0000 len=3509	3509	5.49866	5.49866	5.33943
k141_1828 flag=0 multi=6.0000 len=3716	3716	6.66181	6.66181	5.30322
k141_1833 flag=0 multi=57.1340 len=6126	6126	61.8896	61.8896	58.5375
k141_1836 flag=1 multi=6.0000 len=11230	11230	6.78511	6.78511	4.70196
k141_1841 flag=1 multi=5.0000 len=1164	1164	6.00493	6.00493	6.7374
k141_1844 flag=0 multi=56.0727 len=32691	32691	66.8858	66.8858	86.3299
k141_1846 flag=1 multi=5.0000 len=1076	1076	6.26458	6.26458	3.19373
k141_1854 flag=1 multi=5.0000 len=14853	14853	6.16527	6.16527	6.3935
k141_1855 flag=0 multi=6.0251 len=2769	2769	6.72509	6.72509	6.47577
k141_1861 flag=1 multi=5.0000 len=1307	1307	5.39758	5.39758	9.35219
k141_1863 flag=0 multi=53.0601 len=45400	45400	65.8471	65.8471	63.0775
k141_1865 flag=1 multi=5.0000 len=1109	1109	6.99687	6.99687	13.3267
k141_1874 flag=0 multi=55.9842 len=28724	28724	65.5093	65.5093	88.3514
k141_1879 flag=0 multi=117.0000 len=1405	1405	128.637	128.637	355.558
k141_1884 flag=1 multi=6.0000 len=10372	10372	7.10634	7.10634	5.38045
k141_1885 flag=0 multi=44.1514 len=24778	24778	53.6778	53.6778	1124.92
k141_1891 flag=0 multi=54.2722 len=10633	10633	63.7888	63.7888	70.0616
k141_1893 flag=1 multi=5.0000 len=2713	2713	5.4444	5.4444	6.28676
k141_1897 flag=0 multi=37.2018 len=11468	11468	44.4261	44.4261	49.2986
k141_1908 flag=0 multi=5.4784 len=5283	5283	6.68284	6.68284	6.12274
k141_1910 flag=1 multi=5.0000 len=7045	7045	6.16534	6.16534	6.41915
k141_1916 flag=0 multi=5.9935 len=1981	1981	6.10705	6.10705	6.65634
k141_1936 flag=1 multi=6.0000 len=4944	4944	6.44973	6.44973	4.28048
k141_1946 flag=0 multi=52.1372 len=7330	7330	42.6361	42.6361	45.0021
k141_1951 flag=0 multi=4.0000 len=4180	4180	4.93945	4.93945	3.57308
k141_1959 flag=0 multi=5.0445 len=1378	1378	4.2842	4.2842	4.23944
k141_1964 flag=1 multi=3.0000 len=1018	1018	4.01267	4.01267	4.37701
k141_1993 flag=0 multi=5.9240 len=18161	18161	5.89701	5.89701	5.91128
k141_2006 flag=1 multi=5.0000 len=2427	2427	5.61616	5.61616	4.12323
k141_2008 flag=0 multi=5.3123 len=1598	1598	4.10428	4.10428	2.94078
k141_2017 flag=1 multi=5.0000 len=1086	1086	3.45192	3.45192	4.98378
k141_2019 flag=1 multi=5.0000 len=4409	4409	5.35807	5.35807	7.95606
k141_2022 flag=0 multi=323.0000 len=1185	1185	340.067	340.067	3014.25
k141_2023 flag=0 multi=37.0000 len=1666	1666	44.7711	44.7711	74.9593
k141_2026 flag=1 multi=3.0000 len=1236	1236	3.19061	3.19061	1.40419
k141_2027 flag=1 multi=6.0000 len=18917	18917	6.91794	6.91794	7.67477
k141_2042 flag=0 multi=37.0453 len=46044	46044	44.7008	44.7008	48.8279
k141_2044 flag=1 multi=5.0000 len=5829	5829	5.39672	5.39672	5.70645
k141_2046 flag=1 multi=6.0000 len=4234	4234	6.96964	6.96964	8.14443
k141_2047 flag=1 multi=5.0000 len=2637	2637	5.00523	5.00523	7.12265
k141_2049 flag=1 multi=4.7163 len=1410	1410	5.75794	5.75794	3.43063
k141_2051 flag=0 multi=4.3498 len=1070	1070	4.39565	4.39565	7.23389
k141_2065 flag=0 multi=43.5403 len=3630	3630	44.448	44.448	27.1987
k141_2073 flag=1 multi=5.0000 len=3240	3240	5.70162	5.70162	3.03299
k141_2078 flag=1 multi=5.0000 len=34890	34890	6.06615	6.06615	5.05495
k141_2079 flag=1 multi=5.0000 len=4008	4008	6.09487	6.09487	7.75823
k141_2085 flag=1 multi=4.0000 len=1166	1166	3.4065	3.4065	3.10458
k141_2094 flag=1 multi=7.0000 len=6589	6589	6.66781	6.66781	10.2863
k141_2095 flag=1 multi=6.0000 len=5504	5504	6.05286	6.05286	4.39632
k141_2097 flag=0 multi=39.4974 len=1100	1100	41.6053	41.6053	38.5869
k141_2102 flag=0 multi=54.2201 len=11002	11002	63.1346	63.1346	131.496
k141_2111 flag=0 multi=6.0000 len=4486	4486	6.70018	6.70018	8.59651
k141_2115 flag=0 multi=7.4617 len=1055	1055	5.38785	5.38785	10.8792
k141_2124 flag=0 multi=6.0000 len=17853	17853	6.08281	6.08281	7.69704
k141_2127 flag=0 multi=5.0662 len=3312	3312	6.69608	6.69608	6.76527
k141_2132 flag=1 multi=6.0000 len=3697	3697	6.29715	6.29715	8.45479
k141_2134 flag=0 multi=5.0000 len=5568	5568	5.80989	5.80989	3.7615
k141_2144 flag=1 multi=6.0000 len=6817	6817	6.60042	6.60042	5.33239
k141_2148 flag=0 multi=6.1337 len=11131	11131	6.77552	6.77552	4.56932
k141_2151 flag=0 multi=6.0000 len=1694	1694	4.04534	4.04534	3.37447
k141_2158 flag=1 multi=4.0000 len=3520	3520	4.59258	4.59258	4.50752
k141_2163 flag=1 multi=5.0000 len=8417	8417	5.69626	5.69626	4.96893
k141_2169 flag=0 multi=5.1733 len=1266	1266	5.99731	5.99731	4.24483
k141_2180 flag=1 multi=6.0000 len=35258	35258	6.85918	6.85918	7.20471
k141_2186 flag=0 multi=56.2494 len=36280	36280	65.1129	65.1129	64.3197
k141_2189 flag=1 multi=6.0000 len=4459	4459	6.94871	6.94871	8.67485
k141_2190 flag=0 multi=5.0000 len=1707	1707	6.3192	6.3192	3.55293
k141_2192 flag=1 multi=5.0000 len=4655	4655	5.27947	5.27947	3.64503
k141_2194 flag=1 multi=5.0000 len=5660	5660	4.73267	4.73267	5.29195
k141_2197 flag=1 multi=6.6422 len=14937	14937	6.35572	6.35572	7.84744
k141_2198 flag=0 multi=6.0000 len=8558	8558	6.7167	6.7167	7.48256
k141_2199 flag=0 multi=6.6120 len=5169	5169	6.99801	6.99801	8.0761
k141_2222 flag=1 multi=7.0004 len=20775	20775	6.8289	6.8289	7.89675
k141_2223 flag=1 multi=6.0005 len=6406	6406	6.20748	6.20748	4.17112
k141_2224 flag=1 multi=5.0000 len=5423	5423	5.81889	5.81889	4.11192
k141_2226 flag=1 multi=6.4612 len=34727	34727	6.74905	6.74905	7.19507
k141_2232 flag=1 multi=4.0000 len=1281	1281	4.55349	4.55349	5.29159
k141_2235 flag=1 multi=4.0000 len=1935	1935	4.91541	4.91541	3.70416
k141_2249 flag=0 multi=5.0152 len=5195	5195	6.06105	6.06105	5.58135
k141_2250 flag=0 multi=58.8209 len=3458	3458	61.1025	61.1025	63.6662
k141_2252 flag=1 multi=5.0000 len=3009	3009	6.3057	6.3057	5.48533
k141_2260 flag=1 multi=7.0000 len=4186	4186	7.48588	7.48588	12.9146
k141_2261 flag=0 multi=6.1023 len=12096	12096	7.2626	7.2626	6.16653
k141_2264 flag=0 multi=5.0000 len=11755	11755	6.10909	6.10909	5.63445
k141_2265 flag=1 multi=4.9889 len=8051	8051	6.02266	6.02266	8.09337
k141_2269 flag=1 multi=5.0000 len=1528	1528	4.85776	4.85776	3.8359
k141_2271 flag=0 multi=5.0000 len=4760	4760	5.57874	5.57874	4.60702
k141_2272 flag=0 multi=84.2856 len=2501	2501	93.6644	93.6644	1437.73
k141_2275 flag=0 multi=57.1376 len=36924	36924	65.7498	65.7498	63.2739
k141_2291 flag=1 multi=5.2813 len=1961	1961	6.97957	6.97957	11.336
k141_2294 flag=0 multi=304.3434 len=1693	1693	317.848	317.848	1399.14
k141_2301 flag=0 multi=78.1881 len=1449	1449	63.4619	63.4619	137.748
k141_2304 flag=1 multi=6.4369 len=5360	5360	6.24798	6.24798	5.12138
k141_2305 flag=1 multi=5.0000 len=3381	3381	5.61467	5.61467	5.04069
k141_2321 flag=0 multi=5.9955 len=2560	2560	6.70373	6.70373	4.96162
k141_2322 flag=0 multi=6.0000 len=5726	5726	6.56636	6.56636	9.73015
k141_2328 flag=1 multi=4.0000 len=1403	1403	4.93615	4.93615	1.53423
k141_2330 flag=0 multi=45.0000 len=1417	1417	51.9511	51.9511	83.8191
k141_2340 flag=1 multi=6.7534 len=14340	14340	7.55137	7.55137	9.68386
k141_2345 flag=1 multi=5.0000 len=5238	5238	5.2616	5.2616	3.03892
k141_2349 flag=1 multi=4.0000 len=2268	2268	4.78281	4.78281	2.77567
k141_2352 flag=1 multi=3.0000 len=2627	2627	3.68753	3.68753	3.63982
k141_2353 flag=1 multi=5.9769 len=12927	12927	6.10511	6.10511	5.76946
k141_2354 flag=1 multi=6.0000 len=16167	16167	6.06081	6.06081	6.46085
k141_2362 flag=1 multi=5.0000 len=12441	12441	6.10292	6.10292	5.74163
k141_2365 flag=0 multi=5.5423 len=3167	3167	6.31555	6.31555	9.81284
k141_2370 flag=0 multi=5.0000 len=7522	7522	6.28378	6.28378	6.53932
k141_2374 flag=0 multi=57.0895 len=46388	46388	68.4557	68.4557	166.78
k141_2377 flag=1 multi=6.5870 len=3928	3928	6.86342	6.86342	8.61838
k141_2381 flag=1 multi=5.0000 len=5433	5433	4.86769	4.86769	4.55483
k141_2382 flag=1 multi=6.0000 len=6288	6288	5.96237	5.96237	5.7367
k141_2385 flag=0 multi=5.0000 len=9563	9563	5.89908	5.89908	6.29174
k141_2389 flag=0 multi=38.0691 len=26349	26349	46.0495	46.0495	45.8754
k141_2394 flag=0 multi=54.0396 len=14573	14573	64.9588	64.9588	105.655
k141_2397 flag=0 multi=6.0000 len=1444	1444	5.0255	5.0255	2.22597
k141_2400 flag=1 multi=5.0000 len=3289	3289	6.53775	6.53775	5.27984
k141_2404 flag=0 multi=55.6574 len=73295	73295	66.4481	66.4481	91.9381
k141_2406 flag=1 multi=6.0000 len=4446	4446	6.7486	6.7486	4.68555
k141_2411 flag=1 multi=5.0000 len=15065	15065	6.32531	6.32531	6.49995
k141_2412 flag=0 multi=5.5431 len=15053	15053	6.10105	6.10105	4.80442
k141_2414 flag=1 multi=5.0000 len=7439	7439	5.71313	5.71313	6.09024
k141_2416 flag=0 multi=77.7809 len=3290	3290	72.7701	72.7701	141.183
k141_2417 flag=1 multi=4.9414 len=10856	10856	5.53073	5.53073	3.69441
k141_2418 flag=0 multi=6.0000 len=7875	7875	7.28078	7.28078	11.9161
k141_2422 flag=0 multi=5.0000 len=7872	7872	5.52888	5.52888	3.48145
k141_2424 flag=0 multi=51.2060 len=6239	6239	59.4608	59.4608	49.3859
k141_2426 flag=1 multi=7.0000 len=4796	4796	7.01076	7.01076	10.1824
k141_2437 flag=0 multi=63.0459 len=5499	5499	62.6807	62.6807	70.9098
k141_2438 flag=0 multi=38.9759 len=13312	13312	45.8608	45.8608	44.864
k141_2450 flag=1 multi=5.0000 len=2223	2223	4.46358	4.46358	2.68314
k141_2451 flag=1 multi=5.0000 len=2042	2042	6.07664	6.07664	5.69742
k141_2454 flag=0 multi=5.0000 len=5292	5292	5.87359	5.87359	4.97682
k141_2459 flag=0 multi=6.1726 len=1213	1213	6.81185	6.81185	6.87982
k141_2464 flag=0 multi=55.0013 len=58531	58531	65.8211	65.8211	78.4399
k141_2466 flag=0 multi=55.9814 len=25506	25506	67.731	67.731	76.1528
k141_2474 flag=0 multi=5.0489 len=6844	6844	5.32955	5.32955	4.13101
k141_2478 flag=1 multi=4.0000 len=2286	2286	5.09691	5.09691	4.43786
k141_2484 flag=0 multi=4.0000 len=1026	1026	2.57763	2.57763	3.23399
k141_2486 flag=0 multi=37.1045 len=79954	79954	43.8672	43.8672	40.7732
k141_2492 flag=1 multi=7.0000 len=6157	6157	7.51623	7.51623	5.67261
k141_2500 flag=0 multi=5.9985 len=7974	7974	7.091	7.091	6.20049
k141_2504 flag=1 multi=4.0000 len=4900	4900	5.17389	5.17389	5.26976
k141_2506 flag=0 multi=5.0000 len=5092	5092	6.16188	6.16188	6.251
k141_2512 flag=0 multi=2.9558 len=1137	1137	3.84904	3.84904	2.63945
k141_2541 flag=1 multi=4.8474 len=7273	7273	5.85175	5.85175	6.00735
k141_2559 flag=0 multi=6.0000 len=6488	6488	6.63837	6.63837	5.71711
k141_2563 flag=0 multi=5.8304 len=4338	4338	5.90497	5.90497	4.09514
k141_2569 flag=1 multi=55.0000 len=47042	47042	65.5707	65.5707	88.9703
k141_2577 flag=1 multi=5.8256 len=5726	5726	7.02511	7.02511	11.8237
k141_2579 flag=1 multi=5.9114 len=5561	5561	6.05175	6.05175	8.43339
k141_2583 flag=0 multi=87.0000 len=29281	29281	67.5415	67.5415	57.9478
k141_2590 flag=0 multi=6.0000 len=10505	10505	6.53897	6.53897	5.58706
k141_2591 flag=0 multi=7.0000 len=2095	2095	5.84627	5.84627	17.3966
k141_2594 flag=1 multi=5.0000 len=4637	4637	6.23067	6.23067	9.33721
k141_2606 flag=0 multi=5.0000 len=4995	4995	6.29143	6.29143	4.16076
k141_2610 flag=1 multi=5.0000 len=4731	4731	5.81423	5.81423	8.0246
k141_2612 flag=1 multi=6.0000 len=6722	6722	5.42651	5.42651	5.40244
k141_2618 flag=0 multi=6.0000 len=3219	3219	6.78951	6.78951	7.73147
k141_2629 flag=0 multi=5.0000 len=15838	15838	5.7238	5.7238	4.59743
k141_2635 flag=1 multi=4.0000 len=3714	3714	4.53367	4.53367	2.57226
k141_2639 flag=1 multi=6.0000 len=21372	21372	6.4166	6.4166	5.27383
k141_2678 flag=1 multi=5.3174 len=4999	4999	6.72799	6.72799	5.36847
k141_2680 flag=0 multi=56.3380 len=49860	49860	66.5564	66.5564	65.9243
k141_2687 flag=0 multi=61.8986 len=5585	5585	67.2857	67.2857	41.2935
k141_2689 flag=0 multi=5.0000 len=1850	1850	4.95412	4.95412	6.72762
k141_2690 flag=1 multi=4.0000 len=4784	4784	4.11027	4.11027	3.10871
k141_2692 flag=0 multi=5.8344 len=1228	1228	5.83302	5.83302	2.48463
k141_2707 flag=0 multi=108.0000 len=1365	1365	110.308	110.308	433.058
k141_2709 flag=0 multi=5.9948 len=21415	21415	7.02784	7.02784	6.09161
k141_2712 flag=1 multi=5.0000 len=5865	5865	6.72406	6.72406	3.6594
k141_2713 flag=0 multi=65.3758 len=5721	5721	63.2526	63.2526	64.649
k141_2715 flag=0 multi=7.3898 len=1811	1811	7.32209	7.32209	8.74509
k141_2723 flag=1 multi=5.0000 len=3805	3805	5.04241	5.04241	4.95795
k141_2740 flag=1 multi=5.0000 len=8446	8446	6.31762	6.31762	8.00595
k141_2742 flag=0 multi=6.0000 len=1595	1595	6.60346	6.60346	7.515
k141_2756 flag=1 multi=8.0000 len=6274	6274	6.57136	6.57136	5.24592
k141_2761 flag=0 multi=3.8904 len=3964	3964	4.45412	4.45412	5.07568
k141_2765 flag=1 multi=5.3067 len=9942	9942	6.14583	6.14583	5.24286
k141_2768 flag=0 multi=6.0000 len=7323	7323	6.92514	6.92514	8.3174
k141_2770 flag=0 multi=7.2096 len=5323	5323	8.41659	8.41659	5.90431
k141_2776 flag=0 multi=5.0000 len=1317	1317	4.76778	4.76778	8.31567
k141_2778 flag=1 multi=4.9494 len=6936	6936	6.26687	6.26687	5.2533
k141_2779 flag=0 multi=5.0000 len=6992	6992	5.2565	5.2565	5.96512
k141_2780 flag=0 multi=4.7663 len=1279	1279	4.5403	4.5403	3.21138
k141_2801 flag=0 multi=5.2600 len=7767	7767	5.66627	5.66627	4.82829
k141_2802 flag=1 multi=6.0000 len=11267	11267	6.66088	6.66088	6.54055
k141_2810 flag=1 multi=5.0000 len=2593	2593	6.37986	6.37986	5.41423
k141_2815 flag=1 multi=4.0000 len=1353	1353	5.39235	5.39235	9.45656
k141_2820 flag=0 multi=38.4203 len=24660	24660	44.6202	44.6202	37.8577
k141_2821 flag=1 multi=6.0000 len=2464	2464	7.11582	7.11582	7.03631
k141_2824 flag=0 multi=6.1975 len=2323	2323	6.77543	6.77543	7.21203
k141_2825 flag=1 multi=5.0000 len=1304	1304	5.07452	5.07452	10.1489
k141_2835 flag=0 multi=5.0000 len=1743	1743	5.90333	5.90333	6.97933
k141_2837 flag=1 multi=5.0000 len=2289	2289	5.79523	5.79523	3.78685
k141_2841 flag=1 multi=6.0000 len=3883	3883	6.52719	6.52719	2.89887
k141_2858 flag=0 multi=6.0000 len=4232	4232	7.24914	7.24914	10.2979
k141_2862 flag=1 multi=6.9995 len=8832	8832	7.14075	7.14075	6.95969
k141_2866 flag=0 multi=80.3461 len=1187	1187	58.6557	58.6557	117.367
k141_2871 flag=1 multi=5.5340 len=14006	14006	5.73961	5.73961	4.7318
k141_2873 flag=0 multi=6.2103 len=5423	5423	6.17865	6.17865	5.606
k141_2874 flag=0 multi=6.0000 len=10846	10846	7.44727	7.44727	5.70837
k141_2881 flag=1 multi=5.0000 len=4197	4197	6.46479	6.46479	3.7381
k141_2882 flag=0 multi=5.0000 len=1688	1688	5.81144	5.81144	3.3281
k141_2883 flag=1 multi=6.0000 len=1753	1753	6.39925	6.39925	5.59329
k141_2892 flag=0 multi=5.0000 len=13463	13463	5.54428	5.54428	4.58262
k141_2905 flag=1 multi=6.0000 len=6665	6665	6.3977	6.3977	5.96343
k141_2928 flag=0 multi=38.0052 len=94933	94933	45.2569	45.2569	47.3461
k141_2929 flag=0 multi=5.0000 len=5534	5534	5.08414	5.08414	3.81626
k141_2932 flag=1 multi=6.0000 len=8782	8782	6.13809	6.13809	4.68998
k141_2933 flag=1 multi=6.0000 len=8068	8068	6.31877	6.31877	4.47353
k141_2934 flag=1 multi=4.9996 len=7326	7326	6.09072	6.09072	6.48445
k141_2939 flag=0 multi=56.0925 len=56526	56526	67.4931	67.4931	57.2184
k141_2943 flag=0 multi=55.1139 len=86869	86869	65.419	65.419	69.9357
k141_2950 flag=0 multi=80.4116 len=17587	17587	66.5908	66.5908	73.7076
k141_2952 flag=0 multi=5.0126 len=13787	13787	6.09768	6.09768	7.54213
k141_2953 flag=1 multi=5.0000 len=10898	10898	6.64505	6.64505	8.52163
k141_2954 flag=0 multi=37.0390 len=95770	95770	45.037	45.037	42.9891
k141_2955 flag=1 multi=6.0000 len=4512	4512	7.08666	7.08666	3.16055
k141_2956 flag=1 multi=6.0000 len=8485	8485	6.76917	6.76917	8.16328
k141_2957 flag=0 multi=4.9941 len=2000	2000	4.94595	4.94595	5.80351
k141_2958 flag=0 multi=5.0000 len=13203	13203	6.07263	6.07263	6.63411
k141_2965 flag=1 multi=5.0000 len=8194	8194	5.36039	5.36039	4.81198
k141_2978 flag=1 multi=6.0000 len=9934	9934	6.65893	6.65893	5.37703
k141_3003 flag=1 multi=5.0000 len=3234	3234	5.79442	5.79442	6.16979
k141_3012 flag=0 multi=109.0000 len=2439	2439	128.351	128.351	280.568
k141_3030 flag=1 multi=6.0000 len=18820	18820	5.76588	5.76588	7.05769
k141_3031 flag=0 multi=60.4998 len=6683	6683	61.4381	61.4381	69.9621
k141_3032 flag=0 multi=5.0000 len=1432	1432	5.57644	5.57644	2.31461
k141_3033 flag=1 multi=6.9645 len=7738	7738	7.53888	7.53888	7.65602
k141_3039 flag=1 multi=5.0000 len=6777	6777	5.51758	5.51758	6.11335
k141_3047 flag=1 multi=5.0000 len=3840	3840	6.24038	6.24038	5.43177
k141_3072 flag=0 multi=62.0000 len=17704	17704	66.1605	66.1605	81.0092
k141_3075 flag=1 multi=5.0000 len=1132	1132	5.29939	5.29939	7.64323
k141_3079 flag=0 multi=5.0000 len=1167	1167	6.33432	6.33432	9.12634
k141_3083 flag=0 multi=5.0068 len=16853	16853	5.80584	5.80584	6.52912
k141_3084 flag=0 multi=54.9994 len=97390	97390	64.6216	64.6216	66.8821
k141_3085 flag=0 multi=48.2287 len=1387	1387	32.3177	32.3177	197.898
k141_3086 flag=0 multi=5.0000 len=3105	3105	6.59932	6.59932	4.50491
k141_3087 flag=0 multi=6.0136 len=13146	13146	7.02608	7.02608	6.87063
k141_3089 flag=0 multi=41.5710 len=3409	3409	43.4124	43.4124	46.9969
k141_3091 flag=0 multi=55.4114 len=18311	18311	65.9917	65.9917	75.1198
k141_3093 flag=0 multi=62.9491 len=10999	10999	66.6031	66.6031	66.2763
k141_3095 flag=1 multi=5.1402 len=4506	4506	5.41621	5.41621	4.2908
k141_3097 flag=0 multi=132.5825 len=1123	1123	115.683	115.683	920.014
k141_3099 flag=0 multi=116.6303 len=1223	1223	96.7465	96.7465	588.602
k141_3101 flag=1 multi=4.8889 len=3498	3498	5.16129	5.16129	4.72574
k141_3104 flag=0 multi=6.2768 len=4524	4524	6.19319	6.19319	5.34959
k141_3125 flag=0 multi=55.4088 len=11097	11097	64.8083	64.8083	74.7485
k141_3144 flag=1 multi=6.0000 len=4829	4829	5.93268	5.93268	2.94534
k141_3147 flag=0 multi=7.0000 len=1026	1026	6.55708	6.55708	1.25502
k141_3148 flag=0 multi=5.0000 len=1038	1038	4.52928	4.52928	2.41852
k141_3149 flag=0 multi=36.0041 len=87033	87033	43.9177	43.9177	59.5323
k141_3152 flag=0 multi=55.7547 len=41839	41839	66.2649	66.2649	93.7404
k141_3154 flag=1 multi=6.0000 len=6368	6368	5.80347	5.80347	5.30583
k141_3155 flag=1 multi=4.0000 len=2034	2034	4.97771	4.97771	2.67504
k141_3156 flag=0 multi=5.9993 len=15275	15275	6.32608	6.32608	5.43289
k141_3157 flag=0 multi=4.0114 len=1197	1197	4.5788	4.5788	4.01648
k141_3158 flag=0 multi=6.0000 len=2260	2260	6.60332	6.60332	4.71648
