#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k141_827 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4219	1	0.06
k141_828 flag=0 multi=6.0000 len=367	1.6158	367	0.0000	86.9210	319	1	1	0.7143	2	0.71
k141_829 flag=1 multi=1.0000 len=346	0.8699	346	0.0000	86.9942	301	0	1	0.4352	1	0.34
k141_830 flag=1 multi=2.0000 len=349	0.8625	349	0.0000	86.2464	301	0	1	0.6645	1	0.35
k141_831 flag=0 multi=56.0572 len=17067	74.0568	17067	0.0000	100.0000	17067	2111	2101	0.4301	74	8.67
k141_832 flag=1 multi=1.0000 len=309	0.0000	309	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_833 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4518	1	0.06
k141_834 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4784	1	0.06
k141_835 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7309	1	0.06
k141_836 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4053	1	0.06
k141_837 flag=0 multi=26.6533 len=216	3.0000	216	0.0000	100.0000	216	2	1	0.7076	3	0.20
k141_838 flag=0 multi=4.0882 len=549	2.0492	549	0.0000	69.7632	383	2	2	0.6711	2	1.64
k141_839 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6213	1	0.06
k141_840 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7209	1	0.06
k141_841 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5349	1	0.06
k141_842 flag=0 multi=576.0000 len=272	94.1581	272	0.0000	100.0000	272	45	54	0.4032	98	9.65
k141_843 flag=0 multi=6.0000 len=9709	7.2056	9709	0.0000	100.0000	9709	113	120	0.7023	7	3.06
k141_845 flag=1 multi=1.0000 len=308	6.1364	308	0.0000	98.3766	303	7	0	0.3142	7	1.81
k141_846 flag=0 multi=6.0227 len=2657	7.6022	2657	0.0000	100.0000	2657	36	32	0.6805	7	2.18
k141_847 flag=1 multi=1.0000 len=424	0.7099	424	0.0000	70.9906	301	1	0	0.3754	1	0.45
k141_848 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3854	1	0.06
k141_849 flag=0 multi=5.3320 len=2075	5.9480	2075	0.0000	99.0843	2056	19	22	0.6567	6	2.24
k141_850 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4452	1	0.06
k141_851 flag=1 multi=1.0000 len=343	0.0000	343	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_852 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3455	1	0.06
k141_853 flag=1 multi=1.0000 len=315	0.0000	315	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_854 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6910	1	0.06
k141_855 flag=1 multi=5.0000 len=11238	6.8905	11238	0.0000	100.0000	11238	127	131	0.6864	7	2.13
k141_856 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4319	1	0.06
k141_857 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4153	1	0.06
k141_858 flag=0 multi=5.0000 len=694	4.5850	694	0.0000	84.4380	586	5	6	0.7116	5	2.28
k141_859 flag=1 multi=1.0000 len=306	0.9837	306	0.0000	98.3660	301	1	0	0.3821	1	0.14
k141_860 flag=0 multi=345.0000 len=292	25.5205	292	0.0000	100.0000	292	9	20	0.3822	28	6.67
k141_861 flag=1 multi=1.0000 len=339	0.0000	339	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_862 flag=1 multi=6.0000 len=17932	6.9986	17932	0.0000	100.0000	17932	207	210	0.6366	7	2.69
k141_863 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6412	1	0.06
k141_864 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.2691	1	0.06
k141_865 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5249	1	0.06
k141_866 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6279	1	0.06
k141_867 flag=0 multi=6.0000 len=8801	6.4872	8801	0.0000	100.0000	8801	99	91	0.6697	6	2.81
k141_868 flag=1 multi=1.0000 len=646	1.5975	646	0.0000	78.9474	510	3	1	0.4444	1	1.26
k141_869 flag=1 multi=1.0000 len=400	0.7525	400	0.0000	75.2500	301	0	1	0.6113	1	0.43
k141_870 flag=0 multi=6.0023 len=5807	7.4982	5807	0.0000	100.0000	5807	70	75	0.6964	7	2.41
k141_871 flag=1 multi=1.0000 len=340	0.8853	340	0.0000	88.5294	301	0	1	0.6777	1	0.32
k141_872 flag=1 multi=1.0000 len=356	0.8230	356	0.0000	82.3034	293	0	1	0.4983	1	0.38
k141_873 flag=0 multi=6.0000 len=1749	4.7867	1749	0.0000	100.0000	1749	17	11	0.6847	5	1.67
k141_874 flag=0 multi=4.0000 len=2647	5.7688	2647	0.0000	100.0000	2647	28	23	0.7003	6	2.17
k141_875 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3821	1	0.06
k141_876 flag=0 multi=6.0000 len=1102	5.1343	1102	0.0000	100.0000	1102	9	10	0.7211	5	2.11
k141_877 flag=0 multi=6.0000 len=1911	7.2868	1911	0.0000	100.0000	1911	23	24	0.6986	7	2.63
k141_878 flag=1 multi=6.0000 len=5655	7.3963	5655	0.0000	100.0000	5655	68	72	0.6738	7	2.83
k141_880 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5017	1	0.06
k141_881 flag=1 multi=1.0000 len=301	2.9402	301	0.0000	100.0000	301	3	0	0.4441	3	0.29
k141_882 flag=1 multi=5.0722 len=18888	6.7814	18888	0.0000	100.0000	18888	214	212	0.7027	7	2.47
k141_883 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6678	1	0.06
k141_884 flag=0 multi=5.0000 len=1092	5.0733	1092	0.0000	100.0000	1092	8	11	0.7213	5	1.56
k141_885 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3522	1	0.06
k141_886 flag=1 multi=1.0000 len=385	2.3455	385	0.0000	100.0000	385	3	0	0.6921	3	0.82
k141_887 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7243	1	0.06
k141_888 flag=1 multi=1.0000 len=307	0.9805	307	0.0000	98.0456	301	0	1	0.4850	1	0.15
k141_889 flag=1 multi=5.7675 len=6996	6.9627	6996	0.0000	100.0000	6996	82	80	0.7097	7	2.79
k141_890 flag=0 multi=6.0007 len=16402	7.1149	16402	0.0000	100.0000	16402	191	197	0.6879	7	2.85
k141_891 flag=0 multi=5.0000 len=303	0.0000	303	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_892 flag=1 multi=6.0000 len=7722	7.3221	7722	0.0000	100.0000	7722	91	97	0.5777	7	2.29
k141_893 flag=1 multi=2.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7010	1	0.06
k141_894 flag=1 multi=1.0000 len=319	0.9436	319	0.0000	94.3574	301	1	0	0.7276	1	0.24
k141_896 flag=1 multi=6.0000 len=7143	7.3713	7143	0.0000	100.0000	7143	93	82	0.6636	7	3.21
k141_897 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4585	1	0.06
k141_898 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3887	1	0.06
k141_899 flag=0 multi=6.0000 len=1085	7.6618	1085	0.0000	100.0000	1085	13	15	0.7339	7	3.09
k141_900 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6844	1	0.06
k141_902 flag=0 multi=1.1811 len=384	3.6328	384	0.0000	100.0000	384	1	4	0.6930	4	1.40
k141_903 flag=0 multi=2.1073 len=523	2.1778	523	0.0000	99.4264	520	3	1	0.6528	2	0.80
k141_904 flag=1 multi=4.8622 len=3994	6.5288	3994	0.0000	100.0000	3994	43	44	0.6721	6	2.69
k141_905 flag=1 multi=4.0000 len=425	1.9671	425	0.0000	100.0000	425	2	1	0.6866	2	0.75
k141_906 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3123	1	0.06
k141_907 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6777	1	0.06
k141_908 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5449	1	0.06
k141_909 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3389	1	0.06
k141_910 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3987	1	0.06
k141_911 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5648	1	0.06
k141_912 flag=1 multi=5.0000 len=1586	4.7446	1586	0.0000	100.0000	1586	16	9	0.6663	5	2.34
k141_913 flag=0 multi=3.7339 len=389	0.6864	389	0.0000	68.6375	267	0	1	0.6578	1	0.46
k141_914 flag=1 multi=1.0000 len=303	0.9934	303	0.0000	99.3399	301	0	1	0.7243	1	0.10
k141_915 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6379	1	0.06
k141_916 flag=0 multi=6.0000 len=241	0.0000	241	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_917 flag=1 multi=5.0000 len=9739	6.8291	9739	0.0000	100.0000	9739	109	112	0.7142	7	2.35
k141_918 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6910	1	0.06
k141_919 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4219	1	0.06
k141_920 flag=0 multi=5.0000 len=539	5.3599	539	0.0000	100.0000	539	5	5	0.6997	6	2.68
k141_921 flag=0 multi=57.4472 len=3670	66.6858	3670	0.0000	100.0000	3670	409	413	0.3997	68	8.89
k141_922 flag=1 multi=6.0000 len=6469	7.1620	6469	0.0000	100.0000	6469	77	77	0.7251	7	2.00
k141_923 flag=1 multi=1.0000 len=335	0.8985	335	0.0000	89.8507	301	0	1	0.5914	1	0.31
k141_924 flag=1 multi=1.0000 len=388	0.7758	388	0.0000	77.5773	301	0	1	0.4286	1	0.42
k141_926 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6977	1	0.06
k141_927 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5050	1	0.06
k141_928 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7176	1	0.06
k141_929 flag=1 multi=5.0000 len=8843	6.8064	8843	0.0000	100.0000	8843	100	100	0.6797	7	2.64
k141_930 flag=1 multi=6.0000 len=9941	6.9232	9941	0.0000	100.0000	9941	111	118	0.7052	7	2.39
k141_931 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4452	1	0.06
k141_932 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4153	1	0.06
k141_933 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6379	1	0.06
k141_934 flag=1 multi=1.0000 len=301	1.9767	301	0.0000	100.0000	301	0	2	0.7425	2	0.19
k141_935 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4518	1	0.06
k141_936 flag=1 multi=3.6992 len=613	4.3426	613	0.0000	100.0000	613	2	7	0.7597	4	2.38
k141_937 flag=0 multi=136.9289 len=338	26.4645	338	0.0000	100.0000	338	14	18	0.4846	29	7.22
k141_938 flag=1 multi=4.0000 len=784	4.6071	784	0.0000	97.3214	763	5	7	0.6343	5	2.53
k141_939 flag=0 multi=5.0000 len=490	1.7286	490	0.0000	99.7959	489	3	0	0.6157	2	0.66
k141_941 flag=1 multi=5.0000 len=13947	6.1618	13947	0.0000	100.0000	13947	143	143	0.6882	6	2.59
k141_942 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4319	1	0.06
k141_943 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5050	1	0.06
k141_944 flag=1 multi=1.0000 len=300	1.0000	300	0.0000	100.0000	300	1	0	0.5947	1	0.06
k141_945 flag=0 multi=1.0000 len=320	0.9406	320	0.0000	94.0625	301	0	1	0.6910	1	0.24
k141_946 flag=0 multi=208.0500 len=281	8.5552	281	0.0000	91.8149	258	8	2	0.3010	10	3.19
k141_947 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4385	1	0.06
k141_948 flag=1 multi=2.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6645	1	0.06
k141_949 flag=1 multi=105.7883 len=363	13.8871	363	0.0000	100.0000	363	8	9	0.5921	17	4.73
k141_950 flag=1 multi=1.0000 len=457	0.6586	457	0.0000	65.8643	301	1	0	0.6910	1	0.47
k141_951 flag=0 multi=6.0000 len=575	4.8383	575	0.0000	100.0000	575	2	8	0.7056	5	1.08
k141_952 flag=1 multi=1.0000 len=403	1.3970	403	0.0000	98.5112	397	2	0	0.4535	1	0.52
k141_954 flag=0 multi=4.4323 len=451	0.6674	451	0.0000	66.7406	301	0	1	0.6844	1	0.47
k141_955 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3389	1	0.06
k141_956 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4784	1	0.06
k141_957 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6213	1	0.06
k141_958 flag=1 multi=6.0000 len=12102	6.9136	12102	0.0000	99.9339	12094	137	141	0.6457	7	2.87
k141_959 flag=1 multi=2.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6379	1	0.06
k141_960 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6944	1	0.06
k141_961 flag=1 multi=1.0000 len=316	0.9525	316	0.0000	95.2532	301	0	1	0.4186	1	0.22
k141_962 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7475	1	0.06
k141_963 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7741	1	0.06
k141_964 flag=1 multi=2.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7641	1	0.06
k141_965 flag=0 multi=5.0000 len=1591	6.3960	1591	0.0000	100.0000	1591	14	20	0.7284	7	2.06
k141_966 flag=0 multi=15.2447 len=1330	15.8165	1330	0.0000	100.0000	1330	29	42	0.6519	16	7.55
k141_967 flag=1 multi=4.0000 len=561	3.5223	561	0.0000	100.0000	561	3	4	0.7233	4	1.91
k141_968 flag=0 multi=3.0195 len=500	2.9180	500	0.0000	100.0000	500	2	3	0.6512	3	1.28
k141_969 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6910	1	0.06
k141_970 flag=1 multi=1.0000 len=331	0.8852	331	0.0000	88.5196	293	1	0	0.6844	1	0.32
k141_971 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4252	1	0.06
k141_973 flag=0 multi=6.0000 len=435	3.9310	435	0.0000	100.0000	435	1	5	0.6683	4	1.41
k141_974 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7176	1	0.06
k141_975 flag=0 multi=1.0000 len=343	0.8776	343	0.0000	87.7551	301	0	1	0.6379	1	0.33
k141_976 flag=0 multi=1.0000 len=305	0.9869	305	0.0000	98.6885	301	1	0	0.6346	1	0.13
k141_977 flag=1 multi=2.0000 len=857	3.1599	857	0.0000	100.0000	857	3	6	0.6216	3	1.74
k141_978 flag=1 multi=1.0000 len=333	0.9039	333	0.0000	90.3904	301	0	1	0.5116	1	0.30
k141_979 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3953	1	0.06
k141_980 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4053	1	0.06
k141_981 flag=0 multi=3.2704 len=655	4.5756	655	0.0000	100.0000	655	4	6	0.6960	4	2.05
k141_982 flag=0 multi=6.0000 len=1084	5.4437	1084	0.0000	100.0000	1084	13	7	0.6465	5	2.43
k141_983 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6811	1	0.06
k141_984 flag=0 multi=772.9508 len=202	12.7525	202	0.0000	100.0000	202	11	2	0.3897	13	1.23
k141_986 flag=1 multi=5.0000 len=6650	6.4186	6650	0.0000	100.0000	6650	66	76	0.6738	6	2.11
k141_987 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5116	1	0.06
k141_988 flag=0 multi=59.6643 len=281	18.9680	281	0.0000	100.0000	281	13	8	0.4347	21	3.19
k141_989 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6578	1	0.06
k141_990 flag=1 multi=4.6118 len=1532	6.4484	1532	0.0000	100.0000	1532	15	18	0.6766	7	1.74
k141_991 flag=1 multi=3.0000 len=1199	3.7023	1199	0.0000	100.0000	1199	9	6	0.6941	4	2.07
k141_992 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6312	1	0.06
k141_993 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7043	1	0.06
k141_994 flag=0 multi=9.3872 len=846	3.4385	846	0.0000	100.0000	846	8	2	0.6216	3	1.52
k141_995 flag=1 multi=2.0000 len=302	0.9967	302	0.0000	99.6689	301	1	0	0.6379	1	0.08
k141_996 flag=0 multi=5.9813 len=8256	6.4021	8256	0.0000	100.0000	8256	91	85	0.6822	6	2.46
k141_997 flag=1 multi=1.0000 len=392	0.7679	392	0.0000	76.7857	301	0	1	0.2924	1	0.42
k141_998 flag=1 multi=6.1357 len=8178	7.1565	8178	0.0000	100.0000	8178	100	95	0.6598	7	2.80
k141_999 flag=1 multi=1.0000 len=302	4.7384	302	0.0000	100.0000	302	3	2	0.3316	5	0.83
k141_1000 flag=0 multi=1.0000 len=306	0.9837	306	0.0000	98.3660	301	1	0	0.7209	1	0.14
k141_1001 flag=0 multi=104.0000 len=227	30.9956	227	0.0000	100.0000	227	14	17	0.5101	31	2.05
k141_1002 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3522	1	0.06
k141_1003 flag=0 multi=5.0000 len=3715	5.6156	3715	0.0000	100.0000	3715	38	32	0.6779	6	2.46
k141_1004 flag=0 multi=4.3861 len=457	4.9234	457	0.0000	100.0000	457	5	3	0.6462	5	2.26
k141_1005 flag=1 multi=6.0000 len=562	8.0338	562	0.0000	100.0000	562	7	8	0.7229	8	4.09
k141_1006 flag=1 multi=6.0319 len=13505	7.1291	13505	0.0000	100.0000	13505	160	160	0.6987	7	2.45
k141_1007 flag=1 multi=3.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6678	1	0.06
k141_1008 flag=0 multi=1.3618 len=293	4.4710	293	0.0000	100.0000	293	2	3	0.6638	5	1.05
k141_1009 flag=0 multi=4.0000 len=4459	5.3945	4459	0.0000	100.0000	4459	39	41	0.6881	5	1.94
k141_1010 flag=0 multi=6.0000 len=6955	6.7802	6955	0.0000	100.0000	6955	75	82	0.7112	7	2.86
k141_1011 flag=1 multi=1.0000 len=348	4.0977	348	0.0000	95.1149	331	1	4	0.3867	5	1.59
k141_1012 flag=1 multi=2.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6910	1	0.06
k141_1013 flag=1 multi=1.0000 len=300	1.0000	300	0.0000	100.0000	300	0	1	0.5349	1	0.06
k141_1014 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4485	1	0.06
k141_1015 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5183	1	0.06
k141_1016 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5017	1	0.06
k141_1018 flag=1 multi=5.0000 len=6579	6.1756	6579	0.0000	100.0000	6579	69	66	0.6989	6	2.40
k141_1019 flag=1 multi=2.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7209	1	0.06
k141_1020 flag=0 multi=5.7605 len=15041	7.3679	15041	0.0000	100.0000	15041	183	186	0.7076	7	2.65
k141_1021 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4086	1	0.06
k141_1022 flag=1 multi=5.0000 len=2678	6.0672	2678	0.0000	100.0000	2678	30	24	0.6754	6	2.40
k141_1023 flag=1 multi=1.0000 len=311	0.8264	311	0.0000	82.6367	257	0	1	0.5349	1	0.38
k141_1024 flag=1 multi=3.0701 len=683	4.4056	683	0.0000	100.0000	683	6	4	0.6213	4	2.52
k141_1025 flag=1 multi=3.9750 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6844	1	0.06
k141_1026 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3488	1	0.06
k141_1027 flag=0 multi=60.8552 len=11735	72.4844	11735	0.0000	100.0000	11735	1452	1380	0.3297	72	10.61
k141_1028 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6777	1	0.06
k141_1029 flag=0 multi=5.6509 len=2146	5.8406	2146	0.0000	100.0000	2146	14	28	0.7140	6	2.23
k141_1030 flag=0 multi=5.0000 len=723	4.0277	723	0.0000	92.8077	671	4	6	0.6791	3	2.55
k141_1031 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3422	1	0.06
k141_1032 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4684	1	0.06
k141_1033 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4020	1	0.06
k141_1034 flag=0 multi=4.9411 len=1159	4.7541	1159	0.0000	100.0000	1159	10	9	0.6944	5	1.81
k141_1035 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6179	1	0.06
k141_1036 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5714	1	0.06
k141_1037 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5947	1	0.06
k141_1038 flag=1 multi=4.0000 len=328	0.9177	328	0.0000	91.7683	301	1	0	0.7674	1	0.28
k141_1039 flag=0 multi=6.0000 len=333	1.6967	333	0.0000	96.3964	321	2	0	0.6944	2	0.54
k141_1040 flag=0 multi=1.0000 len=348	0.8649	348	0.0000	86.4943	301	1	0	0.6811	1	0.34
k141_1041 flag=0 multi=5.0000 len=462	4.8009	462	0.0000	89.1775	412	2	6	0.8036	5	2.62
k141_1042 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4120	1	0.06
k141_1043 flag=1 multi=3.0000 len=393	0.7659	393	0.0000	76.5903	301	1	0	0.6944	1	0.42
k141_1044 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4153	1	0.06
k141_1045 flag=0 multi=158.8163 len=288	55.3889	288	0.0000	100.0000	288	24	38	0.5771	61	10.96
k141_1046 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4352	1	0.06
k141_1047 flag=0 multi=1.0000 len=333	0.0000	333	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_1048 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4718	1	0.06
k141_1049 flag=0 multi=61.0804 len=6908	72.6723	6908	0.0000	100.0000	6908	847	829	0.4067	73	11.59
k141_1051 flag=1 multi=5.0000 len=3552	6.2680	3552	0.0000	100.0000	3552	36	38	0.6803	7	2.41
k141_1052 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3987	1	0.06
k141_1053 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3987	1	0.06
k141_1054 flag=0 multi=6.0766 len=2074	7.4687	2074	0.0000	100.0000	2074	24	28	0.7055	7	3.54
k141_1055 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6678	1	0.06
k141_1057 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6246	1	0.06
k141_1058 flag=0 multi=3.0000 len=1948	4.4805	1948	0.0000	98.3573	1916	16	13	0.7186	5	1.88
k141_1060 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3023	1	0.06
k141_1061 flag=1 multi=1.0000 len=409	0.7359	409	0.0000	73.5941	301	1	0	0.3621	1	0.44
k141_1062 flag=1 multi=3.0000 len=2969	4.6548	2969	0.0000	100.0000	2969	22	24	0.7192	5	2.77
k141_1063 flag=1 multi=1.0000 len=301	9.1993	301	0.0000	100.0000	301	7	3	0.5053	10	1.37
k141_1064 flag=0 multi=80.1381 len=561	39.7326	561	0.0000	100.0000	561	36	39	0.5489	39	18.11
k141_1065 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6678	1	0.06
k141_1066 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6179	1	0.06
k141_1067 flag=0 multi=5.0000 len=767	3.8996	767	0.0000	100.0000	767	1	9	0.6731	4	2.29
k141_1068 flag=0 multi=5.6835 len=6431	5.8798	6431	0.0000	98.0096	6303	61	65	0.6892	6	2.78
k141_1069 flag=1 multi=5.4193 len=4591	7.3082	4591	0.0000	100.0000	4591	59	54	0.7270	7	2.06
k141_1070 flag=1 multi=6.0000 len=2691	5.5857	2691	0.0000	99.5912	2680	26	24	0.6293	5	2.52
k141_1071 flag=1 multi=3.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7110	1	0.06
k141_1072 flag=1 multi=5.3637 len=8601	7.3483	8601	0.0000	100.0000	8601	102	108	0.7125	7	2.46
k141_1073 flag=1 multi=7.0000 len=3170	7.5016	3170	0.0000	100.0000	3170	45	34	0.6915	8	3.30
k141_1074 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4419	1	0.06
k141_1075 flag=0 multi=7.3208 len=1182	8.0838	1182	0.0000	100.0000	1182	13	19	0.6798	8	3.72
k141_1076 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4651	1	0.06
k141_1077 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4452	1	0.06
k141_1078 flag=0 multi=665.1065 len=310	74.7581	310	0.0000	100.0000	310	39	43	0.3515	82	14.01
k141_1079 flag=0 multi=56.1689 len=14916	72.4509	14916	0.0000	100.0000	14916	1824	1772	0.4292	72	10.90
k141_1080 flag=0 multi=6.0679 len=10628	7.4173	10628	0.0000	100.0000	10628	128	135	0.6457	7	2.73
k141_1082 flag=1 multi=1.0000 len=303	0.0000	303	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_1083 flag=1 multi=1.0000 len=365	22.3699	365	0.0000	100.0000	365	14	14	0.5155	28	9.77
k141_1084 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7043	1	0.06
